id,nombre,descripcion
1,Argentina,NULL
2,"Arabia Saudita",NULL
3,Mexico,NULL
4,Polonia,NULL
5,Túnez,NULL
6,Francia,NULL
7,Australia,NULL
8,Dinamarca,NULL
